Programming_and_Software_Development_off,Project_Management_off,Accounting_and_Finance_off,Marketing_and_Advertising_off,Sales_and_Customer_Service_off,Human_Resources_and_Leadership_off,Graphic_Design_and_Illustration_off,Photography_and_Photo_Editing_off,Music_instruments_Composition_and_Production_off,Writing_and_Editing_off,Arts_and_Crafts_and_DIY_Projects_off,Learning_Foreign_Languages_off,Written_and_Oral_Communication_in_Various_Languages_off,Interpretation_and_Translation_off,Computer_and_Software_Application_Operation_off,Network_Administration_and_IT_Support_off,Electronics_and_Robotics_off,Web_Design_and_Development_off,Data_Analysis_and_Visualization_off,Interpersonal_Communication_off,Conflict_Resolution_and_Mediation_off,Empathy_and_Emotional_Intelligence_off,Leadership_Skills_and_Teamwork_off,Networking_and_Relationship_Management_off,Cooking_and_Baking_off,Gardening_and_Farming_off,DIY_and_Repairs_off,Driving_and_Vehicle_Maintenance_off,First_Aid_and_Life_Saving_Techniques_off,Mathematics_and_Sciences_off,History_and_Social_Sciences_off,Literature_and_Philosophy_off,Research_Methods_and_Academic_Writing_off,Academic_Reading_and_Critique_off,Time_Management_and_Organization_off,Stress_Management_and_Mindfulness_off,Financial_Planning_and_Budgeting_off,Self_Defense_and_Personal_Safety_off,Healthcare_and_Nutrition_off,Programming_and_Software_Development_dem,Project_Management_dem,Accounting_and_Finance_dem,Marketing_and_Advertising_dem,Sales_and_Customer_Service_dem,Human_Resources_and_Leadership_dem,Graphic_Design_and_Illustration_dem,Photography_and_Photo_Editing_dem,Music_instruments_Composition_and_Production_dem,Writing_and_Editing_dem,Arts_and_Crafts_and_DIY_Projects_dem,Learning_Foreign_Languages_dem,Written_and_Oral_Communication_in_Various_Languages_dem,Interpretation_and_Translation_dem,Computer_and_Software_Application_Operation_dem,Network_Administration_and_IT_Support_dem,Electronics_and_Robotics_dem,Web_Design_and_Development_dem,Data_Analysis_and_Visualization_dem,Interpersonal_Communication_dem,Conflict_Resolution_and_Mediation_dem,Empathy_and_Emotional_Intelligence_dem,Leadership_Skills_and_Teamwork_dem,Networking_and_Relationship_Management_dem,Cooking_and_Baking_dem,Gardening_and_Farming_dem,DIY_and_Repairs_dem,Driving_and_Vehicle_Maintenance_dem,First_Aid_and_Life_Saving_Techniques_dem,Mathematics_and_Sciences_dem,History_and_Social_Sciences_dem,Literature_and_Philosophy_dem,Research_Methods_and_Academic_Writing_dem,Academic_Reading_and_Critique_dem,Time_Management_and_Organization_dem,Stress_Management_and_Mindfulness_dem,Financial_Planning_and_Budgeting_dem,Self_Defense_and_Personal_Safety_dem,Healthcare_and_Nutrition_dem
,,,,,,Novice,Expert,Advanced,Advanced,Novice,,,,Expert,Intermediate,Novice,Intermediate,Intermediate,,,,,,,,,,,,,,,,Beginner,Novice,Novice,Novice,Intermediate,Intermediate,Advanced,Intermediate,Expert,Beginner,Beginner,Novice,Intermediate,Expert,Advanced,Advanced,,,,,,,,,,,,,,Expert,Intermediate,Expert,Advanced,Advanced,Advanced,Expert,Expert,Beginner,Advanced,Beginner,Beginner,Expert,Beginner,Beginner
Expert,Expert,Novice,Novice,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Novice,Advanced,Intermediate
Intermediate,Advanced,Expert,Intermediate,Novice,Beginner,,,,,,Novice,Novice,Expert,Beginner,Intermediate,Novice,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Expert,Expert,Intermediate,Expert,Expert,Novice,Expert,Intermediate
Advanced,Novice,Intermediate,Advanced,Novice,Beginner,,,,,,,,,Novice,Beginner,Expert,Novice,Beginner,Novice,Advanced,Intermediate,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Beginner,Novice,Advanced,,,,,,Expert,Expert,Advanced,Beginner,Advanced,,,,,
,,,,,,,,,,,,,,Novice,Novice,Beginner,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Expert,,,,,,,,,,,,,,,,Intermediate,Advanced,Expert,Expert,Expert,Advanced,Expert,Beginner,Intermediate,Advanced
,,,,,,,,,,,,,,Beginner,Beginner,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Intermediate,Intermediate,Expert,Beginner,Intermediate,Intermediate,,,,,,Expert,Advanced,Novice,Intermediate,Advanced,Advanced,Advanced,Intermediate,Beginner,Expert,,,,,
,,,,,,,,,,,,,,Beginner,Novice,Novice,Beginner,Intermediate,,,,,,,,,,,Intermediate,Intermediate,Novice,Beginner,Expert,Beginner,Novice,Intermediate,Novice,Intermediate,,,,,,,Expert,Advanced,Advanced,Intermediate,Intermediate,,,,Intermediate,Expert,Novice,Novice,Beginner,,,,,,Expert,Expert,Advanced,Expert,Intermediate,Advanced,Expert,Expert,Expert,Expert,,,,,
Expert,Novice,Advanced,Expert,Intermediate,Expert,,,,,,,,,,,,,,Intermediate,Novice,Novice,Intermediate,Beginner,Novice,Novice,Novice,Intermediate,Novice,,,,,,,,,,,,,,,,,Novice,Expert,Expert,Expert,Expert,,,,Advanced,Expert,Expert,Beginner,Beginner,Expert,Intermediate,Intermediate,Advanced,Expert,Expert,Expert,Advanced,Advanced,Advanced,Intermediate,Beginner,Expert,Expert,Expert,,,,,
,,,,,,Intermediate,Beginner,Novice,Intermediate,Intermediate,,,,,,,,,Novice,Beginner,Intermediate,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Intermediate,Advanced,Expert,Advanced,Expert,Expert,,,,,,Intermediate,Expert,Novice,Expert,Expert,Expert,Intermediate,Expert,Intermediate,Advanced,Beginner,Beginner,Intermediate,Expert,Intermediate
Expert,Beginner,Novice,Novice,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Expert,Expert,Expert,Expert,Intermediate,Advanced,Expert,Advanced,Intermediate,,,,Expert,Advanced,Beginner,Advanced,Expert,,,,,,Expert,Beginner,Advanced,Expert,Expert,,,,,,Beginner,Expert,Advanced,Advanced,Expert
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Novice,Expert,Intermediate,,,,,,,,,,,,,,,,,Novice,Intermediate,Advanced,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Expert,Advanced,Advanced
Novice,Novice,Intermediate,Expert,Beginner,Beginner,,,,,,Novice,Advanced,Intermediate,,,,,,,,,,,Beginner,Expert,Intermediate,Novice,Advanced,,,,,,,,,,,Expert,Expert,Expert,Expert,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Beginner,Expert,Intermediate
,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Beginner,Advanced,Beginner,Expert,Intermediate,Novice,Novice,Advanced,Advanced,Intermediate,Novice,Novice,Beginner,Beginner,,,,,,,,,,,,Expert,Advanced,Expert,,,,,,,,,,,Advanced,Expert,Expert,Expert,Expert,,,,,,Advanced,Beginner,Advanced,Expert,Expert
,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Beginner,Novice,Expert,,,,,,,,,,,Advanced,Intermediate,Intermediate,Advanced,Expert,Expert,,,,,,,,,Novice,Novice,Advanced,Intermediate,Beginner,,,,,,,,,,,,,,,,Beginner,Intermediate,Expert,Advanced,Beginner
Advanced,Beginner,Beginner,Beginner,Novice,Intermediate,Beginner,Intermediate,Beginner,Intermediate,Novice,Novice,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Novice,Expert,Intermediate,Intermediate,,,,,,Expert,Expert,Expert,,,,,,,,,,,Beginner,Expert,Novice,Advanced,Expert,,,,,,,,,,
Expert,Intermediate,Novice,Expert,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Expert,Expert,Expert,Advanced,Advanced,Expert,Expert,Expert,Expert,Beginner,Beginner,Intermediate,,,,,,Intermediate,Beginner,Advanced,Expert,Expert,,,,,,,,,,,Intermediate,Expert,Expert,Intermediate,Expert
,,,,,,,,,,,,,,Intermediate,Novice,Novice,Advanced,Novice,,,,,,,,,,,Novice,Expert,Novice,Novice,Intermediate,,,,,,Intermediate,Novice,Advanced,Intermediate,Intermediate,Advanced,,,,,,Novice,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Expert,Expert,,,,,,,,,,,Advanced,Expert,Expert,Advanced,Intermediate,,,,,
Novice,Novice,Expert,Intermediate,Advanced,Novice,,,,,,,,,,,,,,,,,,,Intermediate,Novice,Beginner,Expert,Intermediate,,,,,,,,,,,Intermediate,Intermediate,Expert,Advanced,Beginner,Expert,Advanced,Expert,Beginner,Novice,Expert,Expert,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Expert,Advanced,Advanced
Intermediate,Intermediate,Advanced,Intermediate,Beginner,Beginner,Novice,Novice,Expert,Intermediate,Beginner,,,,Beginner,Novice,Advanced,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Beginner,Expert,Expert,,,,,,,,,Intermediate,Intermediate,Advanced,Expert,Intermediate,Advanced,Expert,Expert,Expert,Intermediate,Expert,Advanced,Advanced,Intermediate,Expert,Expert,Expert,Advanced,Intermediate,Advanced
,,,,,,,,,,,,,,,,,,,Expert,Beginner,Novice,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Beginner,Expert,Intermediate,Expert,Beginner,Beginner,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Expert,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Novice,Novice,Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Expert,Novice,Expert,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Advanced,Expert,Novice,Advanced,Expert,Expert,Expert,Expert,,,,,,,,,,
Expert,Beginner,Expert,Beginner,Novice,Advanced,,,,,,,,,,,,,,Novice,Beginner,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Novice,Novice,Advanced,Novice,Novice,,,,,,,,,,,Beginner,Intermediate,Expert,Intermediate,Novice,,,,,,,,,,,,,,,Advanced,Advanced,Intermediate,Expert,Advanced,,,,,,Novice,Expert,Beginner,Novice,Expert,Intermediate,Expert,Advanced,Intermediate,Expert,,,,,
,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Expert,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Expert,Intermediate,Intermediate,Beginner,Beginner,Advanced,,,,,,Intermediate,Intermediate,Novice,Intermediate,Advanced,,,,,,,,,,,Expert,Expert,Expert,Expert,Advanced
,,,,,,,,,,,Expert,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Intermediate,Advanced,Intermediate,Intermediate,Expert,Expert,Expert,Expert,Beginner,Expert,Expert,Expert,Expert,Expert,Expert,Expert,Advanced,Expert,,,,,,,,,,,Advanced,Advanced,Advanced,Intermediate,Expert,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Beginner,Novice,Advanced,Beginner,Intermediate,Beginner,Advanced,Novice,Novice,Expert,Advanced,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Advanced,Intermediate,Advanced,,,,,,,,,,
,,,,,,Intermediate,Beginner,Expert,Expert,Intermediate,Intermediate,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Novice,Advanced,Advanced,Novice,Expert,Expert,Expert,,,,,,Beginner,Beginner,Expert,Intermediate,Intermediate,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Beginner,Novice,Novice,Expert,Novice,,,,,,,,,,,,,,,,Expert,Intermediate,Advanced,Intermediate,Advanced,Expert,,,,,,,,,,,,,,Expert,Advanced,Expert,Expert,Advanced,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Novice,Intermediate,Expert,Advanced,Beginner,,,,,,Beginner,Novice,Beginner,Beginner,Advanced,,,,,,,,,,,,,,,,,Expert,Expert,Novice,Expert,Advanced,Advanced,Beginner,Advanced,Beginner,Expert,Advanced,Advanced,Advanced,,,,,,Beginner,Novice,Expert,Expert,Advanced,,,,,,Intermediate,Expert,Intermediate,Advanced,Expert
,,,,,,,,,,,Novice,Intermediate,Novice,,,,,,,,,,,Novice,Beginner,Expert,Novice,Expert,Novice,Novice,Intermediate,Intermediate,Beginner,,,,,,,,,,,,,,,,,Advanced,Expert,Novice,,,,,,Advanced,Expert,Beginner,Expert,Intermediate,Expert,Expert,Intermediate,Intermediate,Beginner,,,,,,Beginner,Expert,Expert,Intermediate,Beginner
,,,,,,Novice,Beginner,Beginner,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Expert,Beginner,Advanced
Intermediate,Beginner,Intermediate,Intermediate,Novice,Novice,Novice,Novice,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,Novice,Novice,Intermediate,Novice,Novice,,,,,,Expert,Novice,Advanced,Expert,Novice,Intermediate,,,,,,Intermediate,Beginner,Expert,Beginner,Expert,Advanced,Expert,Novice,Intermediate,Advanced,Novice,Beginner,Expert,,,,,,,,,,,Advanced,Expert,Beginner,Advanced,Novice
,,,,,,,,,,,Expert,Novice,Novice,,,,,,,,,,,Expert,Beginner,Novice,Beginner,Intermediate,,,,,,,,,,,,,,,,,Expert,Expert,Intermediate,Expert,Advanced,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,,,,,,Expert,Expert,Intermediate,Expert,Expert,,,,,
,,,,,,,,,,,,,,Advanced,Expert,Advanced,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Expert,Advanced,Expert,Beginner,Advanced,Intermediate,Expert,Intermediate,Advanced,,,,Expert,Intermediate,Advanced,Beginner,Novice,,,,,,Beginner,Beginner,Advanced,Expert,Beginner,,,,,,,,,,
Beginner,Beginner,Novice,Novice,Beginner,Expert,,,,,,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Expert,Expert,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Beginner,Intermediate,Intermediate,Advanced,,,,,
Novice,Beginner,Novice,Beginner,Beginner,Beginner,,,,,,,,,Novice,Beginner,Beginner,Intermediate,Intermediate,,,,,,,,,,,,,,,,Novice,Intermediate,Expert,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,Expert,Expert,Beginner,Intermediate,Beginner,,,,,,Intermediate,Expert,Advanced,Expert,Expert,,,,,
,,,,,,,,,,,,,,Advanced,Novice,Novice,Beginner,Expert,,,,,,,,,,,Intermediate,Novice,Novice,Beginner,Novice,Novice,Beginner,Intermediate,Beginner,Intermediate,,,,,,,,,,,,,,,Expert,Expert,Beginner,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,
Beginner,Novice,Novice,Advanced,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Novice,Intermediate,Intermediate,Intermediate,Novice,Novice,Intermediate,Novice,,,,,,,Intermediate,Intermediate,Beginner,Beginner,Advanced,Expert,Advanced,Beginner,Advanced,Intermediate,Expert,Intermediate,Expert,,,,,,,,,,,Expert,Expert,Expert,Expert,Expert,,,,,
,,,,,,,,,,,,,,Expert,Advanced,Novice,Novice,Advanced,,,,,,,,,,,Expert,Intermediate,Expert,Beginner,Novice,Expert,Beginner,Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Intermediate,Expert,Advanced,,,,,,Novice,Intermediate,Advanced,Beginner,Intermediate
,,,,,,,,,,,,,,Novice,Novice,Beginner,Intermediate,Novice,,,,,,Beginner,Expert,Intermediate,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Expert,Intermediate,Intermediate,Beginner,Beginner,Expert,Intermediate,Advanced,Advanced,Intermediate,Advanced,Expert,Beginner,Intermediate,Expert,Expert,,,,,,Novice,Expert,Intermediate,Expert,Intermediate
,,,,,,Novice,Expert,Novice,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Intermediate,,,,,,Advanced,Expert,Advanced,Advanced,Expert,Advanced,Expert,Expert,Intermediate,Advanced,Expert,Advanced,Intermediate,Advanced,Intermediate,,,,,
Intermediate,Beginner,Expert,Beginner,Beginner,Novice,,,,,,,,,,,,,,Advanced,Beginner,Beginner,Intermediate,Beginner,Novice,Novice,Beginner,Novice,Beginner,,,,,,,,,,,Novice,Expert,Beginner,Beginner,Expert,Expert,,,,,,,,,,,,,,,,,,,Expert,Expert,Beginner,Intermediate,Expert,,,,,,,,,,
,,,,,,,,,,,,,,Advanced,Advanced,Novice,Novice,Beginner,Intermediate,Expert,Intermediate,Novice,Intermediate,,,,,,,,,,,Advanced,Novice,Intermediate,Intermediate,Advanced,Expert,Expert,Intermediate,Beginner,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Novice,Novice,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Beginner,Expert,Expert,Expert,Intermediate,Intermediate,Intermediate,Advanced,Advanced,Expert,Expert,Expert,Expert,Advanced,,,,,
Novice,Expert,Novice,Novice,Intermediate,Novice,,,,,,,,,,,,,,Beginner,Intermediate,Novice,Novice,Novice,,,,,,,,,,,,,,,,Advanced,Advanced,Expert,Advanced,Expert,Advanced,Expert,Advanced,Expert,Beginner,Intermediate,,,,Novice,Expert,Advanced,Advanced,Beginner,Expert,Intermediate,Expert,Intermediate,Expert,,,,,,,,,,,Novice,Advanced,Expert,Intermediate,Intermediate
,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Beginner,Novice,Expert,Expert,,,,,,Intermediate,Intermediate,Novice,Novice,Beginner,,,,,,,,,,,,Advanced,Advanced,Expert,,,,,,,,,,,Expert,Advanced,Advanced,Intermediate,Advanced,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Advanced,Novice,Novice,,,,,,Novice,Expert,Expert,Beginner,Intermediate,Beginner,Intermediate,Novice,Novice,Novice,Novice,Intermediate,Expert,Novice,Advanced,Expert,Expert,Advanced,Expert,Beginner,Expert,,,,Beginner,Expert,Expert,Expert,Expert,,,,,,Intermediate,Beginner,Expert,Intermediate,Expert,Beginner,Intermediate,Expert,Intermediate,Expert,,,,,
Advanced,Advanced,Expert,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,Novice,Advanced,Intermediate,Intermediate,Beginner,,,,,,Advanced,Intermediate,Expert,Advanced,Expert,Expert,,,,,,Intermediate,Advanced,Novice,,,,,,Beginner,Expert,Intermediate,Intermediate,Expert,Expert,Advanced,Expert,Advanced,Novice,,,,,,Intermediate,Expert,Beginner,Expert,Beginner
,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Advanced,Novice,Advanced,,,,,,,,,,,Advanced,Intermediate,Expert,Expert,Expert,Intermediate,,,,,,,,,,,,,,Advanced,Expert,Intermediate,Beginner,Advanced,,,,,,Intermediate,Advanced,Expert,Beginner,Intermediate,Advanced,Intermediate,Expert,Expert,Expert
,,,,,,Novice,Beginner,Novice,Intermediate,Novice,Expert,Beginner,Intermediate,,,,,,Advanced,Novice,Novice,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Beginner,Expert,Beginner,,,,,,,,,,,,,,,,,,,Expert,Beginner,Expert,Intermediate,Expert,,,,,
,,,,,,Intermediate,Beginner,Novice,Novice,Advanced,Beginner,Expert,Beginner,Novice,Beginner,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Intermediate,Intermediate,Expert,,,,,,,,,Advanced,Intermediate,Beginner,Beginner,Advanced,,,,,,,,,,,,,,,
,,,,,,Expert,Expert,Beginner,Novice,Novice,,,,,,,,,,,,,,Novice,Intermediate,Novice,Novice,Expert,,,,,,,,,,,,,,,,,Advanced,Expert,Beginner,Expert,Intermediate,Intermediate,Advanced,Advanced,,,,,,Expert,Advanced,Intermediate,Intermediate,Intermediate,Expert,Advanced,Expert,Expert,Expert,Advanced,Expert,Expert,Expert,Expert,,,,,
Novice,Novice,Beginner,Novice,Beginner,Expert,,,,,,Advanced,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Intermediate,Beginner,Expert,,,,,,,,,,,,,,,Expert,Advanced,Expert,Advanced,Expert,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Expert,Novice,Novice,,,,,,,,,,,,,,,,Beginner,Beginner,Novice,Beginner,Intermediate,,,,,,,,,,,,,,,,,Expert,Beginner,Expert,Advanced,Advanced,Advanced,Beginner,Intermediate,,,,,,,,,,,,,,,,Expert,Expert,Intermediate,Advanced,Intermediate
Beginner,Beginner,Intermediate,Intermediate,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Intermediate,Expert,Novice,,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Expert,Expert,Intermediate,,,,,,,,,,,,,,,
Expert,Beginner,Novice,Expert,Intermediate,Intermediate,,,,,,,,,,,,,,Beginner,Beginner,Beginner,Novice,Expert,,,,,,,,,,,Novice,Novice,Novice,Novice,Intermediate,Advanced,Expert,Advanced,Advanced,Expert,Expert,Advanced,Expert,Expert,Advanced,Advanced,Expert,Expert,Advanced,,,,,,Advanced,Advanced,Advanced,Expert,Advanced,,,,,,Intermediate,Expert,Advanced,Beginner,Novice,,,,,
,,,,,,Novice,Intermediate,Beginner,Novice,Expert,,,,,,,,,,,,,,,,,,,Novice,Beginner,Intermediate,Expert,Intermediate,,,,,,Intermediate,Beginner,Intermediate,Expert,Intermediate,Novice,,,,,,,,,,,,,,Beginner,Advanced,Beginner,Intermediate,Expert,,,,,,,,,,,Expert,Beginner,Beginner,Advanced,Advanced
,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Intermediate,Beginner,Expert,,,,,,,,,,,,,,,,Beginner,Intermediate,Expert,Advanced,Expert,Novice,Intermediate,Advanced,Advanced,Novice,Advanced,Expert,Intermediate,Advanced,,,,,,,,,,,Advanced,Advanced,Expert,Intermediate,Expert,,,,,,Expert,Expert,Expert,Advanced,Expert
,,,,,,,,,,,,,,,,,,,Intermediate,Beginner,Intermediate,Expert,Beginner,,,,,,Novice,Beginner,Advanced,Advanced,Novice,,,,,,Expert,Expert,Novice,Beginner,Expert,Advanced,,,,,,,,,Intermediate,Expert,Advanced,Intermediate,Advanced,Expert,Advanced,Intermediate,Expert,Expert,,,,,,Advanced,Intermediate,Advanced,Expert,Expert,,,,,
Novice,Novice,Intermediate,Novice,Intermediate,Novice,,,,,,,,,Expert,Novice,Novice,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Advanced,Advanced,Intermediate,Beginner,Intermediate,Advanced,Expert,Advanced,Novice,,,,Expert,Advanced,Intermediate,Intermediate,Expert,Beginner,Novice,Advanced,Advanced,Advanced,Intermediate,Expert,Intermediate,Expert,Intermediate,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Expert,Intermediate,Beginner,Advanced,Advanced,Novice,Intermediate,Advanced,,,,,,Novice,Intermediate,Novice,Expert,Intermediate,Beginner,Advanced,Expert,Expert,Expert,Advanced,Advanced,Expert,Beginner,,,,,,Advanced,Expert,Expert,Expert,Beginner,,,,,,,,,,,Advanced,Expert,Expert,Novice,Expert
,,,,,,,,,,,Intermediate,Beginner,Advanced,,,,,,Advanced,Expert,Novice,Intermediate,Advanced,,,,,,,,,,,Intermediate,Expert,Intermediate,Beginner,Novice,,,,,,,,,,,,,,,Beginner,Advanced,Advanced,Expert,Expert,Intermediate,Expert,Beginner,Advanced,Intermediate,,,,,,Novice,Beginner,Expert,Advanced,Intermediate,,,,,
Expert,Beginner,Advanced,Expert,Beginner,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Beginner,Expert,Intermediate,Advanced,Beginner,Expert,Advanced,Intermediate,Expert,,,,Intermediate,Expert,Expert,Advanced,Advanced,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Novice,Novice,Advanced,Advanced,Expert,Intermediate,Advanced,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Expert,Expert,Intermediate,Expert,Advanced,Intermediate,Expert,Intermediate,Expert,Novice,Intermediate,Expert,Beginner,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Advanced,Advanced,Novice,,,,,,,,,,,,Intermediate,Advanced,Advanced,Advanced,Intermediate,Expert,Expert,Expert,,,,,,,,,,,Advanced,Beginner,Advanced,Advanced,Expert,Beginner,Expert,Novice,Expert,Intermediate,,,,,
,,,,,,,,,,,,,,Novice,Novice,Beginner,Advanced,Novice,,,,,,Novice,Expert,Expert,Novice,Beginner,,,,,,Novice,Expert,Beginner,Intermediate,Novice,Expert,Beginner,Advanced,Expert,Expert,Expert,Expert,Intermediate,Expert,Advanced,Novice,,,,,,,,,,,,,,,,,,,Expert,Beginner,Expert,Intermediate,Expert,Advanced,Advanced,Beginner,Intermediate,Expert
Beginner,Novice,Expert,Novice,Novice,Novice,,,,,,,,,,,,,,Novice,Intermediate,Expert,Beginner,Expert,,,,,,Novice,Expert,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,Expert,Expert,Intermediate,,,,,,Novice,Advanced,Expert,Expert,Advanced,,,,,,Novice,Advanced,Expert,Intermediate,Intermediate,Intermediate,Novice,Expert,Intermediate,Intermediate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Beginner,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Intermediate,Expert,Novice,Novice,Expert,Expert,Intermediate,Advanced,,,,,,Advanced,Intermediate,Expert,Intermediate,Advanced
,,,,,,Beginner,Beginner,Advanced,Intermediate,Expert,,,,,,,,,Novice,Novice,Intermediate,Intermediate,Novice,Beginner,Intermediate,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,Expert,Expert,Intermediate,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Expert,Expert,Beginner,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,,Novice,Advanced,Expert,Intermediate,Advanced,Advanced,Expert,Novice,,,,,,Expert,Intermediate,Expert,Expert,Expert,Expert,Expert,Expert,Advanced,Advanced,,,,,,Advanced,Expert,Advanced,Intermediate,Intermediate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Intermediate,Novice,Novice,,,,,,,,,,,,Advanced,Advanced,Expert,Advanced,Intermediate,,,,,,,,,,,,,,,,,,,Advanced,Intermediate,Expert,Advanced,Advanced,,,,,
